description,established,id,name,organic,resource_url,website
,,BeKCbW,907 Brewing,False,brewery,
"961 Beer began during the dark days of the July 2006 siege on Lebanon. Tired with the lack of quality beer in Lebanon, Mazen Hajjar and his friends started to brew beer in his very own kitchen. The first batches were brewed in 20 liter kettles. Granted that war and blockades are not the ideal conditions to start a company, alongside everyone telling them they were mad to even consider it, they went ahead with it anyway. They decided that brewing a good beer for a great country was what they wanted to do the most.

When 961 Beer officially began brewing they were one of the smallest breweries in the world, and the only microbrewery in the Middle East (and still are). Although 961 Beer now brews nearly 2 million liters per year, they still insist upon making beer using the very same principles: traditional techniques, quality ingredients and love.",2006,SIlrQa,961 BEER,False,brewery,http://www.961beer.com
,,98mgk2,À l'abordage Microbrasserie,False,brewery,
"Located in the Îles de la Madeleine , L'Etang-du-Nord in a former fish processing plant, the microbrewery A l'abri de la Tempête (Shelter From The Storm) enjoys a prime location on the seafront, with breathtaking views to the west. Before you go to relax on the beach or after a busy day of sand and salt water, take a refreshing break in our tasting room.

A l'abri de la Tempête promotes the use of local raw materials in the design of their beers. That began with the transformation of barley malt, it continues its momentum with the harvest of flowers, seaweed and fresh herbs. The use of local resources is a guarantee of authenticity and freshness that contributes to the design of unique beers and sleek.",,RSWkSb,A l'abri de la Tempête,False,brewery,http://www.alabridelatempete.com
"À la Fût microbrewery is located in the heart of the small town of Saint-Tite, in the beautiful region of Mauricie. Whether you're a connoisseur or, conversely, whether you want to introduce you to the pleasures of craft beer, enjoy our delicious beer.

Our Brewpub, which can accommodate more than 60 guests, is distinguished by its relaxed atmosphere and picturesque views. Built in 1865, the place has a rich history which is one of the oldest buildings in the municipality. Moreover, it served as a general store in the time of the Daughters of Caleb. We find today all the architectural style of the time.",,oKER8M,À la Fût,False,brewery,http://www.alafut.com
,2014,OHTofx,A Taste of Long Island Craft Brewery,False,brewery,https://www.atasteoflongislandny.com/a-taste-of-long-island-craft-brewery-and-incubator.html
,1807,3mFYc2,A. Le Coq,False,brewery,http://www.alecoq.ee
"Handcrafted and brewed to excellence, A1A Ale Works goes to great lengths to serve each guest the freshest beer possible. This commitment to serving nothing but the finest and freshest beer has led to numerous awards.",,8s5sUs,A1A Ale Works,False,brewery,http://www.a1aaleworks.com/
"When Helmut Schwichtenberg, a descendant of the Degraa Family, secured the trademark rights for DEGRAA in 2007, he laid the cornerstone for a new era. One year later, he commissioned an extensive market research study that showed what a beer from Aachen should taste like.

His father, Karl-Heinz Schwichtenberg, was the last DEGRAA master and manager of the DEGRAA restaurant near the town theater for over 20 years. His grandmother, Käthe Schwichtenberg, ran the DEGRAA am Hansemann – better known as the “Os Oche” – for over 25 years. His great grandmother, Katharina Vonderbank, née Degraa, was the head of Josef Degraa Erben KG until her death; Josef Degraa Erben KG had been founded by her father, Josef Degraa, in 1888.

Ever since that time, the DEGRAA brand has been well known, even beyond Germany’s borders.",2007,tiuxoF,Aachener Brauhaus Degraa,False,brewery,http://www.degraa.com
,1668,L0Tlgy,Aalener Löwenbrauerei Gebr. Barth KG,False,brewery,http://www.xn--aalener-lwenbru-elb41a.de/
,2012,HqOPPk,Aardwolf Brewing Company,False,brewery,http://www.aardwolfbrewing.com/
"Aarhus Brewery makes special beer for enjoyment! That is to say that art is not so advanced as to result in afskræmmende and can only be drunk by connoisseurs. Anyone who wants to try something new, you will find joy in Aarhus Brewery products.

Aarhus Brewery makes special beer with between 5 and 9% alcohol, bottled in large 60 cl bottles. There will be a beer which will be suitable as an aperitif beer, which beer will be suitable for fish and meat dishes light, and there will be dark, heavy and bulky beers, which are suitable for meats and cheeses.

It builds both fixed beers and varying seasonal beers. Read more in products.

The brewery is purely a production brewery that produces beer and brave this in bottles and kegs. There is not affiliated catering to the brewery. On the other hand we do tours for small groups of between 15 and 75 people.",1986,W2dlxg,Aarhus Bryghus,False,brewery,http://www.aarhusbryghus.dk
"Aass Brewery was established in 1834 and is the oldest brewery in Norway today. It is located in the city of Drammen, approximately 25 miles south of our capital, Oslo. You will spot it at the banks of the Drammen River at the very same place as it has been since 1834. The annual production of beer is aprox. 10 mill liter (85 000 barrels), and together with the production of 18 mill liters of soft drinks and mineralwater it gives employment to approximately 150 people.  You may wonder how we got our name ? It was a young fellow with the name Poul Lauritz Aass that bought the brewery in 1860. Since then it has been in the same family, and is today run by the 4th generation of Aass. (By the way - A real Norwegian viking would pronounce it Ouse)  The brewery is proud of its history. To us the quality of what we produce has always been and always will be the main issue. In 1516, Duke Wilhelm of Bavaria established a law admitting only malted barley, hops yeast, and water as ingredients in the production of beer. The law is known as the purity law and Aass Brewery is still loyal to Duke Wilhelm of Bavaria. In Norway the brewery is known for outstanding quality and large number of different beer types.",,TGtEbk,Aass Brewery,False,brewery,http://www.aass.no
"Overlooking beautiful Keuka Lake, we brew many different Belgian and Farmstyle craft beers for the Penn Yan and surrounding Finger Lakes areas.",2012,BVG7Ls,Abandon Brewing,False,brewery,http://www.abandonbrewing.com
,,qvj4CB,Abandoned Building Brewery,False,brewery,http://abandonedbuildingbrewery.com/
,2007,dleKhW,Abashiri Beer,False,brewery,http://www.takahasi.co.jp
,1121,5ac2lB,Abbaye de Leffe,False,brewery,http://www.abbaye-de-leffe.be/
"Beer Maredsous is a beer Belgian of high fermentation brewed by Moortgat. Curiously, this beer has never been produced at the site of the abbey Benedictine of Maredsous. to Denéein Namur province. However, we can enjoy the on-site in earthen mugs. Since 1963, the abbey has entrusted the production and marketing at the brewery Duvel Moortgat located Puurs (province ofAntwerp), (which also gives us the Duvel) under the control of the monks. The beer is filtered before bottling, giving it very clear.",1963,huKquc,Abbaye de Maredsous,False,brewery,http://www.maredsous.be/
,,jMGNSh,Abbaye Mont des Cats,False,brewery,http://www.abbaye-montdescats.fr
"Founded in 1997, Abbey Ales is the first and only brewery in the historic City of Bath for over forty years, and is the initiative of experienced brewery sales and marketing manager Alan Morgan.

Bellringer is the only cask beer continuously produced at the Abbey Brewery, a golden 4.2% abv best bitter.

Successfully launched at the Bath CAMRA beer festival in October 1997 Bellringer is now the top selling cask bitter in the World Heritage City of Bath and is as popular with the many visitors to the Georgian City as it is with Bathonians.",1997,usU4Jz,Abbey Ales Brewery,False,brewery,http://www.abbeyales.co.uk/
"Miami Beach's world famous Abbey Brewing Company is home to award winning, hand crafted beers, friendly service, and a down to Earth atmosphere. One of the oldest bars in Miami, it has the old world charm of a traditional European pub",1995,sqIClK,Abbey Brewing Co,False,brewery,http://abbeybrewinginc.com/
"Abbey Brewing Company, located in Abiquiu, New Mexico, is the producer of Monks' Ales starting with Monks' Ale released in 2005.

The brewery is located on the grounds of the Benedictine Monastery of Christ in the Desert.  The monks do not allow visits to the brewery.",2005,uA7DZB,"Abbey Brewing Company, LLC",False,brewery,http://www.AbbeyBrewing.biz
,,TWs0Z9,Abbey Ridge,False,brewery,
"The Valley Inn & Abbey Wright Brewing Co. have a superb selection of our own hand-crafted beers. We also have 22 beers on tap, and a huge selection of bottled beer from around the world.",2006,wXmTDU,Abbey Wright Brewing Company,False,brewery,
"We are proud to be a successful small business in and from Sheffield.

We were lucky enough to get in on the ground floor of the revival of craft beer, and canny enough to grow continually throughout our existence.

We have established Moonshine as a very popular local beer and all of our regular and special beers have a following somewhere - sometimes in the most unusual places!

We have one pub of our own, The Rising Sun in Nether Green, Sheffield where you can always try one (or more!) of at least six of our beers that are always on show alongside up to seven beers from other small breweries. Nearly all of these are sourced by swapping with like-minded brewers, proving that we like to share our love for all things beer related.",,1RvWY5,Abbeydale Brewery,False,brewery,http://www.abbeydalebrewery.co.uk
Aberdeen Brewing Company,2000,YrVHMv,Aberdeen Brewing,False,brewery,
"Abide Brewing Company is proud to be the first brewery in Newnan, Georgia.  Local residents Matthew Kapusta, Evan Scanlan, and Philip Leonard developed their craft while home brewing.  Together in 2013 they decided to follow their dreams to start a local nano-brewery that focused primarily on quality, flavor, and the unique techniques of brewing.  After learning about the project, Yokogawa Corporation of America added their support by manufacturing and installing a Brewery Automation and Control System.  In early 2015 the first beers were released into the local market.  Abide’s desire is that their community would “accept without objection” Local Craft Ales.  Cheers!",2013,VDaU2A,Abide Brewing Co.,False,brewery,http://www.abidebrewing.com
Abigaile is an effort by Hermosa Beach local Jed Sanford to bring a distinctive take on the American brasserie experience to Hermosa Beach; all in a communal setting that celebrates the location’s rich history as a gathering place for locals from all walks of life.,2012,iEMsk8,Abigaile Brewery,False,brewery,http://www.abigailerestaurant.com
"Inspired by the hop heritage of nearby Wye and with a particular interest in the flavours of the hop varieties that have been developed at Wye in the past, Abigale Brewing Company craft their ales in the heart of Kent using the finest quality ingredients.",2010,G5N8qx,Abigale Brewing Co,False,brewery,http://www.abigalebrewing.co.uk
"Founded in 1986, the Abita Brewing Company is nestled in the piney woods 30 miles north of New Orleans.

In its first year, the brewery produced 1,500 barrels of beer. We had no idea what we started. Customers loved our beer! By 1994, we outgrew the original site (now our 100-seat brew pub) and moved up the road to a larger facility to keep up with demand.


We brew over 160,000 barrels of beer and 10,000 barrels of root beer in our state-of-the-art brewing facility. Our lagers and ales are brewed in small batches, hand-crafted by a team of dedicated workers with only the highest ideals of quality. This pride, along with our brewing process, is what creates our great brews.

We are privately owned and operated by local shareholders, many who have been with us since day one.

Abita uses only the finest ingredients – British and North American malted barley, German and American yeast strains, Pacific Northwest hops and the pure artesian water of Abita Springs.

In Abita Springs, we are blessed with the purest of water. Drawn from our deep wells, our pristine water is not altered in any way.

Abita Beer has no preservatives, additives or stabilizers and is cold filtered. The result is beer that is the finest and freshest tasting as proven by our loyal customers and great chefs of the south who use Abita Beer in their recipes.",1986,BBE5WM,Abita Brewing Company,False,brewery,http://www.abita.com/
"The Able Ebenezer Brewing Company opened it's doors in the summer of 2014, when former US Army Officers and aspiring entrepreneurs set out to pursue their ambitions. Motivated by their combined abilities, inspired by local New Hampshire revolutionary history, and driven by their love of beer, the Able Ebenezer Brewing Company was formed.",2013,hidaMN,Able Ebenezer Brewing Co.,False,brewery,http://www.ableebenezer.com/
,,83kcr7,Able Seedhouse & Brewery,False,brewery,http://ablebeer.com/
,,noyvVJ,ABQ Brew Pub,False,brewery,http://www.abqbrewpub.com/
"The brewery was founded in 1856 by Lieutenant Per W Luthander. The brewery was purchased in 1898 by brewer Axel Herman Johansson and it is still owned by the family. Despite, or perhaps because of, that we are the country's oldest family brewery, we have always focused on development. Our large production investments have resulted in one of Europe's most modern breweries, with the high and consistent quality is guaranteed by our own water source since 1856.",1856,QdxFHn,Åbro Bryggeri,False,brewery,http://www.abro.se
"As the world grows in its understanding of what beer can and should be, no longer imprisoned by the tasteless, unfilling beers of the recent past, it craves beer made with sincere passion and an unwavering boldness of flavor. And to provide that beer is our mission.

Focusing on Old World styles and New World hops, we are creating a fusion of flavors and aromas to titillate the palate and arouse the olfactory. British, Belgian, and German styles will dominate our taps, while sours will be fermenting and aging from early on.

Absolution Brewing Company is a labor of love for three friends that have a passion for delicious craft beer. Nigel is an English gent that found his way to the West Coast more than two decades ago. Steve is a local boy, born and raised in the South Bay Los Angeles area with deep ties throughout the community. Wes is from the swamps of Louisiana and discovered Southern California via the Navy. Individually, we are but mere beer drinkers in love with the craft. Together, we are a team dedicated to fulfilling our dreams to bring the best beers to the world that others may feel the passion on their palates.",2013,N8OUuv,Absolution Brewing Company,False,brewery,http://www.absolutionbrewingcompany.com
"The AC Golden Brewing Company is a subsidiary of MillerCoors, a joint venture between SABMiller and Molson Coors Brewing Company. Its purpose is to serve as a specialty brewing arm of MillerCoors, in the words of president Glenn Knippenberg, ""Our mission for AC Golden is to be a brand incubator for what is now MillerCoors"". The AC Golden Brewery operates in the former pilot brewery of the Coors Brewery. It debuted its first beer, Herman Joseph's Private Reserve, in 2008. The company began brewing its seasonal beer, a Vienna Style lager called Winterfest, in 2009. In April 2010, AC Golden introduced Colorado Native Amber Lager in Colorado, an amber lager made with 100% Colorado ingredients. In 2014 the brewery introduced Colorado Native India Pale Lager. In 2015 Colorado Native Golden Lager was introduced, along with Colorado Native Double IPL, Colorado Native Saison, Colorado Native Olathe Lager, Colorado Native Oktoberfest and Colorado Native Winterfest.",2007,M4K0XQ,AC Golden Brewing Company,False,brewery,http://www.acgolden.com/
,2011,VA10ul,Acadian Craft Brewing,False,brewery,
"Nestled in the fertile Carson valley, Acadian Farms is a small family farm and nano-brewery. We believe the old adage, ""You are what you eat"", so we organically raise our vegetables and animals. We use certified organic barley & malt in our beers and we bake our artisan breads with all natural and/or organic flours from Bob's Red Mill.  Our farmstead cheeses are made with raw milk from grass-fed goats at a local dairy. We invite you out to the farm for a pint and views of the beautiful Columbia River Gorge!",2008,lgaPWe,Acadian Farms,False,brewery,http://www.acadianorganics.com/
,,TkhNyf,Accomplice Brewery & Ciderworks,False,brewery,http://accomplicebrewery.com/
,,zJX0ZQ,Acelum,False,brewery,http://www.birrificioacelum.it/
"Achel brewery or Brouwerij der Sint-Benedictusabdij de Achelse Kluis is a Belgian Trappist brewery, and the smallest of the seven currently approved Trappist breweries. It is located in the Abbey of Saint Benedict in the Belgian municipality of Achel. It brews five trappist beers",1998,34MUbw,Achel Brewery,False,brewery,http://www.achelsekluis.org/
"Established in May 2003 by former chef Dave Hughes and his wife Judi, Acorn Brewery is located to the east of the Pennines in the village of Wombwell, Barnsley.

Having worked for Barnsley Brewery as Head Brewer for two years, Dave decided to go it alone, purchased a ten barrel brewplant from the Forester & Firkin brewpub in Stafford and moved it to premises in Wombwell.

 Following a lot of hard work by Dave and his assistant brewer Steve Bunting, and despite some initial set backs, the brewplant was commissioned and production of Acorn Brewery Barnsley Bitter began on 4th July 2003, using the same yeast strain as the original Barnsley Brewery, founded in the 1850's. Since then, sales have grown steadily and the range of beers has increased.

Acorn Brewery has developed a popular Yorkshire brand and is currently supplying over 300 free trade outlets and 3 national wholesalers.  

There are currently three award-winning beers permanently available, as well as regular seasonal brews.",2003,Uiol9p,Acorn Brewery of Barnsley,False,brewery,http://www.acorn-brewery.co.uk
"Acoustic Ales Brewing Experiment is located in the historic Mission Brewery Plaza along the I-5, just north of downtown San Diego and just a hop away from the San Diego airport.

The original brewery housed in this building was shut down during Prohibition. The Old Brewery has now been expertly reconditioned and is up and running with a 
15-barrel brewing capacity, not to mention producing some exceptional beers.",,t04KIj,Acoustic Ales Brewing Experiment,False,brewery,http://www.acousticales.com/
BzZz Loves You,,sP5x0O,Acoustic Draft Mead,False,brewery,http://drinkacoustic.com/
"In 2011 a plan was hatched. Two flatmates Hayden and Fraser decided that they would start their own brewery. A month, and many beers later Ad Lib was born. The first beer UCom was made at the Twisted Hop, but due to the February earthquake this beer was never released.

The quake only reinforced Ad Libs' belief, that they should continue, and a new premise and new inspiration was found. The good blokes at Wigram brewery gave them a hand and the magic that is Ad Lib Brewing finally reached you!",2011,aJQnv0,Ad Lib Brewing Company,False,brewery,http://www.adlibbrewing.com/
"Based in Shepton Mallet in the heart of Somerset, our cider mill has been pressing cider of exceptional quality for over one hundred years.

Addlestones was first produced by our team of master cider makers in 1986, and is so popular amongst our loyal consumers; it is now the UK’s leading specialist draught cider.",,xzhzlZ,Addlestones,False,brewery,http://www.addlestones.co.uk
"Adelbert’s Brewery is committed to brewing Belgian-style, bottle-conditioned ales for people to seek, savor, and share with others.  We believe quality beers require quality ingredients and a painstaking attention to detail throughout the brewing process.  

Adelbert’s uses Bohemian old-world floor malted barley, low alpha Noble Czech hops, and fresh yeast propagated at the brewery. In our seven vessel brewhouse, we use a time consuming, multi-temperature decoction mash technique which extracts a more complex flavor from our grains.

We produce a gambit of hand-crafted Belgian style ales right here in Austin, Texas. With our vast array of beer styles, you're sure to find a brew that suits you.
 
Our Belgian-Style Ales include:
Naked Nun Wit
Black Rhino Black Ale
Scratchin' Hippo Biere de Garde
Philosophizer Saison
Dancin' Monks Dubbel Ale
Tripel B Tripel Ale
The Traveler Belgian IPA
Flyin' Monks Quadrupel Ale
 
Also, look for our Barrel-Aged ""Vintage Series"" where we age one of our eight ales in oak barrels for an extended period of time.

Although our selection of beer is great to enjoy by itself; each of them also pair perfectly with just about any food. From spicy Thai food to a backyard barbecue with ribs and brisket, to a formal dinner with steak or seafood and a dark chocolate dessert; our artisanal Belgian-style ales go with pretty much everything. Please share pictures and recipes that you've either used our beer to cook with or have enjoyed right alongside them!",2011,7Tjp4C,Adelbert's Brewery,False,brewery,http://www.adelbertsbeer.com/
"All of our craft-brewed beers are made on the premises using only the finest malt, hops, yeast and water. We currently produce these beers on a 15-barrel Bohemian copper brewhouse. Our fermantation capacity is 60 barrels (1,860 gallons), with an even larger serving capacity in our cold cellars. We invite you to taste hand-crafted beer at its finest. Look for Adirondack Pub & Brewery's hand-crafted beers at great establishments throughout New York State.",1999,fToAQf,Adirondack Pub & Brewery,False,brewery,http://www.adkpub.com
"The Adkin Brewery was originally founded as a hobby in early 2000.  It is a true example of a small cottage brewery, and is run by the sole proprietor, Mr Shaun Cunningham, from the garage attached to his house on a housing estate in Wantage, Oxfordshire.  All of Shaun's beers are produced using only natural ingredients, most of which are supplied by Best Mates Brewery, Ardington and Ken Thomas of Arkwright's Homebrew in Highworth, near Swindon, Wiltshire www.arkwrightshomebrew.com.

At the moment, Shaun still has a full-time job.  Despite the restrictions placed upon Shaun in terms of both time and space, you can see from the photographs just how much can be achieved in a small, basic garage.  As for the quality of the products, well, that speaks for itself!",2000,RGbENJ,Adkin Brewery,False,brewery,http://www.adkinbrewery.co.uk
,,B94gyT,Adler Bräu,False,brewery,http://www.adlerbraeu.de/
,,nSnV7u,Adler-Brauerei Max Haag Nachf Wolfgang Haag,False,brewery,http://www.adler-waibstadt.de/
"Brewery with restaurant and beverage market. A special feature on offer is oat beer, which is brewed seasonally.",,V50BXE,Adlerbrauerei Brehm,False,brewery,
,1716,xKCZqP,Adlerbrauerei Carl Schmetzer,False,brewery,http://www.bierdeckelsammler.net/en/brewery/31
,1349,X0HMO8,Adlerbrauerei Göggingen,False,brewery,http://www.schussenrieder.de/
,,PmWJHL,Adlerbrauerei Herbert Werner,False,brewery,http://www.dachsenfranz.de/
,1760,ldiyh0,Adlerbrauerei J. Rupf,False,brewery,
,1686,ZdvNzq,Adlerbrauerei Karl Götz,False,brewery,http://www.schussenrieder.de/
"Admiral Sasquatch is a proto-brewery at the moment. We're doing test batches and figuring out how best to get our fine, quality brews to the thirsty of Chicagoland.Keep your eyes peeled for us! The Admiral loves beer, and he loves you! Drink up!",,GWZObt,Admiral Sasquatch,False,brewery,http://admiralsasquatch.com/
"Adnams is one of England's oldest and most respected breweries, but despite its rich heritage and enduring fame, Adnams is not a company willing to rest on its laurels. Its continued commitment to quality and innovative packaging designs has made it Britain's fastest growing brewery over the last two years. To top it off, Adnams' head brewer was recently chosen as Britain's Brewer of the Year by a panel of his peers. The aggressive team at Adnams is raring to go and keen to make a mark in the U.S.",1872,nUwtfn,Adnams Brewery,False,brewery,http://www.adnams.co.uk/
"Adroit Theory Brewing Company is the newest nano-brewery in Loudoun County Virginia. We make esoteric beers with an emphasis on barrel aging.
CONSUME LIFE / DRINK ART",2011,Q8hjek,Adroit Theory Brewing Company,False,brewery,http://www.adroit-theory.com/
"We started officially brewing in January 2012, though we brewed for ourselves long before that. With so much great feedback we concluded it would be a crime not to share our passion for beer with everyone. We've been heavily influenced by so many beers particularly by breweries from the 1800's that have now long-since closed their doors. Heritage is important to us and all our beers are made with a definitive nod to the brewers and breweries of former times. If we can develop great beer and give people a history lesson at the same time we would be two very happy brewers!

We regularly produce a range of four core beers (North, South, West and East) and North Pole is brewed for the festive season. We also brew a new limited edition beer each month, produced in small batches and aimed the drinker wanting something just a little bit different. You can find reviews of our core range here, and the first of our limited edition beers here.

So, join us on our Adventure! Be it bottle or cask...",2012,owsQDs,Adventure Brewery,False,brewery,http://www.adventurebrewery.com
"Adventure Brewing Company makes great craft beer in the Stafford and Fredericksburg, Virginia area.",2013,XuZjEE,Adventure Brewing Company,False,brewery,http://adventurebrewing.com/
,,illmv4,Aecht Schlenkerla,False,brewery,http://www.schlenkerla.de
"Aeronaut is a craft brewery and foods hub under one roof. Here, our inspired team of brewers and scientists collaborate with New England farmers and food makers to drive the invention of craft beers and spur a renaissance of local victuals and industrial revitalization.",,zKipbt,Aeronaut Brewing Company,False,brewery,http://www.aeronautbrewing.com/
"AF Brew is a travelling brewery with no address. Our beers are craft beers, and we're always trying to be one step ahead of the local trends. We are beer-geeks ourselves, and we love good beers. We want all of you to become a part of this story.",2012,Bo6K8v,AF Brew,False,brewery,http://www.afbrew.net
,,QkdgSV,Affligem Brewery,False,brewery,http://www.affligembeer.be/
"After 27 years of steady brewing, we thought it would be fun to share the results of the brewing experience with others.  We are a small brewery, and are truly “hands on” every step of the brewing process.  Our goal is to produce the best, most flavorful, most memorable local beers possible.  We think we’ve met that goal, & hope you’ll agree.

At Aftershock, we believe there are two different approaches to brewing.  The most common approach used by the major breweries is a ‘scientific one’.  All stages of the brewing process are closely monitored to ensure a consistent, if tasteless product.  Computers and other high tech equipment are more in control than the brewer himself.  With this approach you get ‘scientific’ beer.  The other approach is a more artistic one, while still respecting basic laws of science, and the need for spotless cleanliness.  That’s the approach we plan to always take at Aftershock.  At the risk of losing an undetectable amount of consistency, the result is beer with much more character, subtle nuances, and awesome flavor.  Don’t take our word for it; check us out.",2012,SdHg0o,Aftershock Brewing Company,False,brewery,http://aftershockbrewingco.com/
"Louisville's only brewer-owned brewery is, like most worthwhile undertakings, the product of dissatisfaction with the status quo. The Louisville area has had a number of quality brewpubs for some time now, but still there was simply not enough beer! Against the Grain is an effort to help solve this problem. We maintain a diverse array of beers covering all of the major categories of beer flavor while generating an endless stream of innovative new brews. In short, everything is ""specialty"" Boredom will be extremely difficult.

Our food is designed with same philosophy as our brewing. Fresh and interesting smokehouse fare with a gastropub flare lets us bring you the very best flavors to stand alone and to compliment our beers. Regular menu changes allow us to take full advantage of the best seasonal ingredients, our chef's whim, and optimal pairing with our dynamic beer list.

Throw your preconceived notions right the hell out the window. We aren't just another brewpub. We are Against the Grain!",2012,BqFigo,Against The Grain Brewery,False,brewery,http://www.atgbrewery.com/
Agassiz Brewing Company,1998,28OVyf,Agassiz Brewing Company,False,brewery,
"AGNER & WOLF Brewery Corp. was incorporated in 2012 with only effort of two enthusiastic people, Erwin and Nataly Agner , and whose dream of childhood, to have their own brewery, has come true.

Living in the USA but having German roots, we had not another way  but to brew German beer according to the traditions and the law of purity of 1516,  which would be classical in its base and stylish per se.

Our lineup represents four types of beer: Hefeweizen (Wheat beer), Altbier (Ale), Marzen (Red Lager) and Schwarzbier (Dark Lager).

Our strategy is in the brewing of beer of high quality, which we could drink by ourselves with a great pleasure and would be proud to offer others.

Our goal is to diversify the US beer market bringing in it the European style.

We want the American consumers to have an opportunity to taste other types of beers, which are different from those, to which they are accustomed to, and be a part of the great European beer family as well.

Our company is young but perspective, and though we are just in the start of the long way to the pinnacle of success, we are sure that in the time soon our beer can get its admirers.",2012,43twMc,Agner & Wolf Brewery Corp.,False,brewery,http://www.agnerwolfbeer.com/
"Agrarian Ales strives to provide the Southern Willamette Valley with beer brewed from the finest ingredients possible. We use exclusively the hops consciously grown on our own farm, as well as any other farm bounty we can put into our mash tun, brew kettle, or fermenter! Our ultimate goal is to grow every ingredient that goes into our beer.

We are on 25 acres North of Eugene near the beautiful Willamette River. We make beer that reflects our connection to the Earth.",,OcxClb,Agrarian Ales,False,brewery,http://agales.com/
"Ahnapee Brewing first opened its doors in 1868 in the city of Ahnapee, now named Algoma, as a premier producer of Wisconsin craft beers. Bohemian immigrants brought skilled craftsmen to erect Kewaunee County’s first sizable building.

Beers were produced under the supervision of the head brewmaster, Henry Schmiling, the great- great-great-great uncle of the current owners. The Civil War veteran sold barrels of Wisconsin craft beers by horse and sleigh, rail, and the schooner, “Whisky Pete.” Schmiling’s Ahnapee Lager was known far and wide for its Wisconsin-made quality. Hops blight put the original brewery out of business in 1886.

A new chapter in the brewery’s history began in the summer of 2013. Fueled by the dreams of our General Manager and Head Brewer, Nick Calaway, we picked up where Henry left off. This time Wisconsin craft beers are produced in small batches and feature full-flavored beer, some with aging potential, served in the Tap Room two doors down from von Stiehl winery at 105 Navarino Street.",1868,yFgliy,Ahnapee Brewery,False,brewery,http://vonstiehl.com/
,1997,WTq1ic,Aiken Brewing Company,False,brewery,http://www.aikenbrewingcompany.com/
"Founded in 2008, Airdale Brewing is a craft beer company located in San Diego, California. Founded by a former Naval Aviator and a veteran southern California craft brewer, Airdale strives to create well-balanced, unique, flavorful beers that embody their mantra of, ""Work Hard | Play Hard""

Airdale Brewing Co. is working to bring its line of premium craft beers to every market available. We intent to do this by producing quality beers that stand on their own as true examples of artisan american ales.",2008,eCqaSS,Airdale Brewing Company,False,brewery,http://www.airdalebrewing.com/
"Friendly service and tasty beer make us a favorite of locals as well as beer enthusiasts from all over. 

Special and seasonal beers make a frequent appearance. Our tap room has bar seating as well as small tables. On sunny days, garden seating is available.

Airways opened on March 4, 2010. Founder and brewer Alex Dittmar has had a lifelong passion for 60′s era jetliners. Airways is a combination of his love for airplanes, good beer, and a connection with people from all over the world.",2010,1t7mJ1,Airways Brewing Company,False,brewery,http://airwaysbrewing.com/
,,2SQXoB,Ajax Aleworks,False,brewery,http://ajaxaleworks.tumblr.com/
,,QMIrXD,Ajeper S.A.,False,brewery,http://www.ajegroup.com/
"Akasha Brewing Company was founded by Dave Padden and Wesley White in early 2015.

Known for his attention to detail, consistency and innovation, our head brewer, Dave has forged a reputation for brewing award-winning, hop-centric ales. And whilst Wes has been a fan of Dave's beer for years, he brings bag loads of enthusiasm and management experience to the table. The third member of the team, Ben Galanos, has worked in various sales and hospitality roles for nearly 20 years and is an unapologetic craft beer fan.  

Needless to say, the Akasha team is made up of like-minded, passionate beer enthusiasts. Our culture is pretty simple: brew the beer that we love to drink and, most importantly, have some fun while we’re doing it. Basically, for all of us here at Akasha, beer is our way of life.

The word 'Akasha' refers to the 'fifth' element. The 'unknown factor' that combines the four elements of Earth, Water, Fire, and Air. And we bring this concept to the craft of brewing beer. Whilst most beer is made from the four basic ingredients of malt, hops, water, and yeast, it is this 'fifth' element, the Akasha, that instils the spirit, the soul and the magic, to create a beer that is truly special. Something that we can be proud of.",2015,tTARNt,Akasha Brewing Company,False,brewery,http://www.akashabrewing.com.au
,,ubXirA,Akasha Brewing Company,False,brewery,http://akashabrewing.com
,,PZdDgd,Akciový pivovar Letiny,False,brewery,http://www.pivovarletiny.cz
Aksarben Brewing Company,2006,eS7K86,Aksarben Brewing Company,False,brewery,
,,Glq8HX,Aktienbrauerei Kaufbeuren,False,brewery,http://www.aktien-brauerei.de/
"Alameda Brewhouse is a brewpub in the heart of the Beaumont Village in Northeast Portland. We have been in business for nine years, offering hand crafted ales and freshly prepared food. All of our beers are produced on location in our 5.5 BBL brewhouse under the watch of headbrewer Carston Haney. He produces a wide variety of beers, from the light, refreshing Siskiyou Golden Ale to the deep, impenetrable Black Bear Double Stout, which won the Gold Medal at the 2003 GABF and the Silver Medal in 2006 and 2008 in the foreign-style stout category. In addition, there is always at least one seasonal beer on tap to fit the mood of the season and one selection served on nitrogen.",1996,t5YwQy,Alameda Brewing Company,False,brewery,http://www.alamedabrewhouse.com/
,2015,orraqL,Alameda Island Brewing Company,False,brewery,http://alamedaislandbrewingcompany.com/
"Alamo Beer Company is the brainchild of Eugene Simor of San Antonio, Texas. Handcrafted just a day’s ride from the Alamo. So the next time you’re in town, remember to raise some ale.

We deliver pure & honest Texas beer. A smooth and refreshing golden ale brewed with a fiercely independent spirit.",2002,uygijz,Alamo Beer Co,False,brewery,http://www.alamobeer.com
